abilities,résistance,attack,base_egg_steps,base_total,capture_rate,classfication,defense,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
"['Overgrow', 'Chlorophyll']","19,25",49,5120,318,45,Seed Pokémon,49,45,Bulbasaur,"88,1",1,65,65,45,grass,poison,1,0
"['Overgrow', 'Chlorophyll']","19,25",62,5120,405,45,Seed Pokémon,63,60,Ivysaur,"88,1",2,80,80,60,grass,poison,1,0
"['Overgrow', 'Chlorophyll']","19,25",100,5120,625,45,Seed Pokémon,123,80,Venusaur,"88,1",3,122,120,80,grass,poison,1,0
"['Blaze', 'Solar Power']",18,52,5120,309,45,Lizard Pokémon,43,39,Charmander,"88,1",4,60,50,65,fire,,1,0
"['Blaze', 'Solar Power']",18,64,5120,405,45,Flame Pokémon,58,58,Charmeleon,"88,1",5,80,65,80,fire,,1,0
"['Blaze', 'Solar Power']","18,5",104,5120,634,45,Flame Pokémon,78,78,Charizard,"88,1",6,159,115,100,fire,flying,1,0
"['Torrent', 'Rain Dish']",18,48,5120,314,45,Tiny Turtle Pokémon,65,44,Squirtle,"88,1",7,50,64,43,water,,1,0
"['Torrent', 'Rain Dish']",18,63,5120,405,45,Turtle Pokémon,80,59,Wartortle,"88,1",8,65,80,58,water,,1,0
"['Torrent', 'Rain Dish']",18,103,5120,630,45,Shellfish Pokémon,120,79,Blastoise,"88,1",9,135,115,78,water,,1,0
"['Shield Dust', 'Run Away']","19,5",30,3840,195,255,Worm Pokémon,35,45,Caterpie,50,10,20,20,45,bug,,1,0
['Shed Skin'],"19,5",20,3840,205,120,Cocoon Pokémon,55,50,Metapod,50,11,25,25,30,bug,,1,0
"['Compoundeyes', 'Tinted Lens']",22,45,3840,395,45,Butterfly Pokémon,50,60,Butterfree,50,12,90,80,70,bug,flying,1,0
"['Shield Dust', 'Run Away']",19,35,3840,195,255,Hairy Pokémon,30,40,Weedle,50,13,20,20,50,bug,poison,1,0
['Shed Skin'],19,25,3840,205,120,Cocoon Pokémon,50,45,Kakuna,50,14,25,25,35,bug,poison,1,0
"['Swarm', 'Sniper']",19,150,3840,495,45,Poison Bee Pokémon,40,65,Beedrill,50,15,15,80,145,bug,poison,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,45,3840,251,255,Tiny Bird Pokémon,40,40,Pidgey,50,16,35,35,56,normal,flying,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,60,3840,349,120,Bird Pokémon,55,63,Pidgeotto,50,17,50,50,71,normal,flying,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",18,80,3840,579,45,Bird Pokémon,80,83,Pidgeot,50,18,135,80,121,normal,flying,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",18,56,3840,253,255,Mouse Pokémon,35,30,Rattata,50,19,25,35,72,normal,dark,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",18,71,3840,413,127,Mouse Pokémon,70,75,Raticate,50,20,40,80,77,normal,dark,1,0
"['Keen Eye', 'Sniper']",18,60,3840,262,255,Tiny Bird Pokémon,30,40,Spearow,50,21,31,31,70,normal,flying,1,0
"['Keen Eye', 'Sniper']",18,90,3840,442,90,Beak Pokémon,65,65,Fearow,50,22,61,61,100,normal,flying,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']","17,5",60,5120,288,255,Snake Pokémon,44,35,Ekans,50,23,40,54,55,poison,,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']","17,5",95,5120,448,90,Cobra Pokémon,69,60,Arbok,50,24,65,79,80,poison,,1,0
"['Static', 'Lightningrod']","17,5",55,2560,320,190,Mouse Pokémon,40,35,Pikachu,50,25,50,50,90,electric,,1,0
"['Static', 'Lightningrod', 'Surge Surfer']","17,5",85,2560,485,75,Mouse Pokémon,50,60,Raichu,50,26,95,85,110,electric,electric,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",19,75,5120,300,255,Mouse Pokémon,90,50,Sandshrew,50,27,10,35,40,ground,ice,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",19,100,5120,450,90,Mouse Pokémon,120,75,Sandslash,50,28,25,65,65,ground,ice,1,0
"['Poison Point', 'Rivalry', 'Hustle']","17,5",47,5120,275,235,Poison Pin Pokémon,52,55,Nidoran♀,0,29,40,40,41,poison,,1,0
"['Poison Point', 'Rivalry', 'Hustle']","17,5",62,5120,365,120,Poison Pin Pokémon,67,70,Nidorina,0,30,55,55,56,poison,,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']","18,25",92,5120,505,45,Drill Pokémon,87,90,Nidoqueen,0,31,75,85,76,poison,ground,1,0
"['Poison Point', 'Rivalry', 'Hustle']","17,5",57,5120,273,235,Poison Pin Pokémon,40,46,Nidoran♂,100,32,40,40,50,poison,,1,0
"['Poison Point', 'Rivalry', 'Hustle']","17,5",72,5120,365,120,Poison Pin Pokémon,57,61,Nidorino,100,33,55,55,65,poison,,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']","18,25",102,5120,505,45,Drill Pokémon,77,81,Nidoking,100,34,85,75,85,poison,ground,1,0
"['Cute Charm', 'Magic Guard', 'Friend Guard']","17,5",45,2560,323,150,Fairy Pokémon,48,70,Clefairy,"24,6",35,60,65,35,fairy,,1,0
"['Cute Charm', 'Magic Guard', 'Unaware']","17,5",70,2560,483,25,Fairy Pokémon,73,95,Clefable,"24,6",36,95,90,60,fairy,,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",18,41,5120,299,190,Fox Pokémon,40,38,Vulpix,"24,6",37,50,65,65,fire,ice,1,0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",18,67,5120,505,75,Fox Pokémon,75,73,Ninetales,"24,6",38,81,100,109,fire,ice,1,0
"['Cute Charm', 'Competitive', 'Friend Guard']",17,45,2560,270,170,Balloon Pokémon,20,115,Jigglypuff,"24,6",39,45,25,20,normal,fairy,1,0
"['Cute Charm', 'Competitive', 'Frisk']",17,70,2560,435,50,Balloon Pokémon,45,140,Wigglytuff,"24,6",40,85,50,45,normal,fairy,1,0
"['Inner Focus', 'Infiltrator']","17,75",45,3840,245,255,Bat Pokémon,35,40,Zubat,50,41,30,40,55,poison,flying,1,0
"['Inner Focus', 'Infiltrator']","17,75",80,3840,455,90,Bat Pokémon,70,75,Golbat,50,42,65,75,90,poison,flying,1,0
"['Chlorophyll', 'Run Away']","19,25",50,5120,320,255,Weed Pokémon,55,45,Oddish,50,43,75,65,30,grass,poison,1,0
"['Chlorophyll', 'Stench']","19,25",65,5120,395,120,Weed Pokémon,70,60,Gloom,50,44,85,75,40,grass,poison,1,0
"['Chlorophyll', 'Effect Spore']","19,25",80,5120,490,45,Flower Pokémon,85,75,Vileplume,50,45,110,90,50,grass,poison,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",25,70,5120,285,190,Mushroom Pokémon,55,35,Paras,50,46,45,55,25,bug,grass,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",25,95,5120,405,75,Mushroom Pokémon,80,60,Parasect,50,47,60,80,30,bug,grass,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",19,55,5120,305,190,Insect Pokémon,50,60,Venonat,50,48,40,55,45,bug,poison,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",19,65,5120,450,75,Poison Moth Pokémon,60,70,Venomoth,50,49,90,75,90,bug,poison,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",19,55,5120,265,255,Mole Pokémon,30,10,Diglett,50,50,35,45,90,ground,ground,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",19,100,5120,425,50,Mole Pokémon,60,35,Dugtrio,50,51,50,70,110,ground,ground,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",18,35,5120,290,255,Scratch Cat Pokémon,35,40,Meowth,50,52,50,40,90,normal,dark,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",18,60,5120,440,90,Classy Cat Pokémon,60,65,Persian,50,53,75,65,115,normal,dark,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",18,52,5120,320,190,Duck Pokémon,48,50,Psyduck,50,54,65,50,55,water,,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",18,82,5120,500,75,Duck Pokémon,78,80,Golduck,50,55,95,80,85,water,,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']","19,5",80,5120,305,190,Pig Monkey Pokémon,35,40,Mankey,50,56,35,45,70,fighting,,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']","19,5",105,5120,455,75,Pig Monkey Pokémon,60,65,Primeape,50,57,60,70,95,fighting,,1,0
"['Intimidate', 'Flash Fire', 'Justified']",18,70,5120,350,190,Puppy Pokémon,45,55,Growlithe,"75,4",58,70,50,60,fire,,1,0
"['Intimidate', 'Flash Fire', 'Justified']",18,110,5120,555,75,Legendary Pokémon,80,90,Arcanine,"75,4",59,100,80,95,fire,,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",18,50,5120,300,255,Tadpole Pokémon,40,40,Poliwag,50,60,40,40,90,water,,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",18,65,5120,385,120,Tadpole Pokémon,65,65,Poliwhirl,50,61,50,50,90,water,,1,0
"['Water Absorb', 'Damp', 'Swift Swim']","19,5",95,5120,510,45,Tadpole Pokémon,95,90,Poliwrath,50,62,70,90,70,water,fighting,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,20,5120,310,200,Psi Pokémon,15,25,Abra,"75,4",63,105,55,90,psychic,,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,35,5120,400,100,Psi Pokémon,30,40,Kadabra,"75,4",64,120,70,105,psychic,,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,50,5120,600,50,Psi Pokémon,65,55,Alakazam,"75,4",65,175,105,150,psychic,,1,0
"['Guts', 'No Guard', 'Steadfast']","19,5",80,5120,305,180,Superpower Pokémon,50,70,Machop,"75,4",66,35,35,35,fighting,,1,0
"['Guts', 'No Guard', 'Steadfast']","19,5",100,5120,405,90,Superpower Pokémon,70,80,Machoke,"75,4",67,50,60,45,fighting,,1,0
"['Guts', 'No Guard', 'Steadfast']","19,5",130,5120,505,45,Superpower Pokémon,80,90,Machamp,"75,4",68,65,85,55,fighting,,1,0
"['Chlorophyll', 'Gluttony']","19,25",75,5120,300,255,Flower Pokémon,35,50,Bellsprout,50,69,70,30,40,grass,poison,1,0
"['Chlorophyll', 'Gluttony']","19,25",90,5120,390,120,Flycatcher Pokémon,50,65,Weepinbell,50,70,85,45,55,grass,poison,1,0
"['Chlorophyll', 'Gluttony']","19,25",105,5120,490,45,Flycatcher Pokémon,65,80,Victreebel,50,71,100,70,70,grass,poison,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",17,40,5120,335,190,Jellyfish Pokémon,35,40,Tentacool,50,72,50,100,70,water,poison,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",17,70,5120,515,60,Jellyfish Pokémon,65,80,Tentacruel,50,73,80,120,100,water,poison,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","24,25",80,3840,300,255,Rock Pokémon,100,40,Geodude,50,74,30,30,20,rock,ground,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","24,25",95,3840,390,120,Rock Pokémon,115,55,Graveler,50,75,45,45,35,rock,ground,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']","24,25",120,3840,495,45,Megaton Pokémon,130,80,Golem,50,76,55,65,45,rock,ground,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",18,85,5120,410,190,Fire Horse Pokémon,55,50,Ponyta,50,77,65,65,90,fire,,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",18,100,5120,500,60,Fire Horse Pokémon,70,65,Rapidash,50,78,80,80,105,fire,,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",20,65,5120,315,190,Dopey Pokémon,65,90,Slowpoke,50,79,40,40,15,water,psychic,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",20,75,5120,590,75,Hermit Crab Pokémon,180,95,Slowbro,50,80,130,80,30,water,psychic,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",16,35,5120,325,190,Magnet Pokémon,70,25,Magnemite,,81,95,55,45,electric,steel,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",16,60,5120,465,60,Magnet Pokémon,95,50,Magneton,,82,120,70,70,electric,steel,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",18,90,5120,377,45,Wild Duck Pokémon,55,52,Farfetch'd,50,83,58,62,60,normal,flying,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",18,85,5120,310,190,Twin Bird Pokémon,45,35,Doduo,50,84,35,35,75,normal,flying,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",18,110,5120,470,45,Triple Bird Pokémon,70,60,Dodrio,50,85,60,60,110,normal,flying,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",18,45,5120,325,190,Sea Lion Pokémon,55,65,Seel,50,86,45,70,45,water,,1,0
"['Thick Fat', 'Hydration', 'Ice Body']","20,75",70,5120,475,75,Sea Lion Pokémon,80,90,Dewgong,50,87,70,95,70,water,ice,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']","17,5",80,5120,325,190,Sludge Pokémon,50,80,Grimer,50,88,40,50,25,poison,poison,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']","17,5",105,5120,500,75,Sludge Pokémon,75,105,Muk,50,89,65,100,50,poison,poison,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",18,65,5120,305,190,Bivalve Pokémon,100,30,Shellder,50,90,45,25,40,water,,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']","20,75",95,5120,525,60,Bivalve Pokémon,180,50,Cloyster,50,91,85,45,70,water,ice,1,0
['Levitate'],"17,5",35,5120,310,190,Gas Pokémon,30,30,Gastly,50,92,100,35,80,ghost,poison,1,0
['Levitate'],"17,5",50,5120,405,90,Gas Pokémon,45,45,Haunter,50,93,115,55,95,ghost,poison,1,0
['Cursed Body'],"17,5",65,5120,600,45,Shadow Pokémon,80,60,Gengar,50,94,170,95,130,ghost,poison,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']","24,25",45,6400,385,45,Rock Snake Pokémon,160,35,Onix,50,95,30,45,70,rock,ground,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",20,48,5120,328,190,Hypnosis Pokémon,45,60,Drowzee,50,96,43,90,42,psychic,,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",20,73,5120,483,75,Hypnosis Pokémon,70,85,Hypno,50,97,73,115,67,psychic,,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",18,105,5120,325,225,River Crab Pokémon,90,30,Krabby,50,98,25,25,50,water,,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",18,130,5120,475,60,Pincer Pokémon,115,55,Kingler,50,99,50,50,75,water,,1,0
"['Soundproof', 'Static', 'Aftermath']","17,5",30,5120,330,190,Ball Pokémon,50,40,Voltorb,,100,55,55,100,electric,,1,0
"['Soundproof', 'Static', 'Aftermath']","17,5",50,5120,490,60,Ball Pokémon,70,60,Electrode,,101,80,80,150,electric,,1,0
"['Chlorophyll', 'Harvest']",24,40,5120,325,90,Egg Pokémon,80,60,Exeggcute,50,102,60,45,40,grass,psychic,1,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",24,105,5120,530,45,Coconut Pokémon,85,95,Exeggutor,50,103,125,75,45,grass,psychic,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor']",19,50,5120,320,190,Lonely Pokémon,95,50,Cubone,50,104,40,50,35,ground,,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",19,80,5120,425,75,Bone Keeper Pokémon,110,60,Marowak,50,105,50,80,45,ground,fire,1,0
"['Limber', 'Reckless', 'Unburden']","19,5",120,6400,455,45,Kicking Pokémon,53,50,Hitmonlee,100,106,35,110,87,fighting,,1,0
"['Keen Eye', 'Iron Fist', 'Inner Focus']","19,5",105,6400,455,45,Punching Pokémon,79,50,Hitmonchan,100,107,35,110,76,fighting,,1,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",18,55,5120,385,45,Licking Pokémon,75,90,Lickitung,50,108,60,75,30,normal,,1,0
['Levitate'],"17,5",65,5120,340,190,Poison Gas Pokémon,95,40,Koffing,50,109,60,45,35,poison,,1,0
['Levitate'],"17,5",90,5120,490,60,Poison Gas Pokémon,120,65,Weezing,50,110,85,70,60,poison,,1,0
"['Lightningrod', 'Rock Head', 'Reckless']","24,25",85,5120,345,120,Spikes Pokémon,95,80,Rhyhorn,50,111,30,30,25,ground,rock,1,0
"['Lightningrod', 'Rock Head', 'Reckless']","24,25",130,5120,485,60,Drill Pokémon,120,105,Rhydon,50,112,45,45,40,ground,rock,1,0
"['Natural Cure', 'Serene Grace', 'Healer']",18,5,10240,450,30,Egg Pokémon,5,250,Chansey,0,113,35,105,50,normal,,1,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",21,55,5120,435,45,Vine Pokémon,115,65,Tangela,50,114,100,40,60,grass,,1,0
"['Early Bird', 'Scrappy', 'Inner Focus']",18,125,5120,590,45,Parent Pokémon,100,105,Kangaskhan,0,115,60,100,100,normal,,1,0
"['Swift Swim', 'Sniper', 'Damp']",18,40,5120,295,225,Dragon Pokémon,70,30,Horsea,50,116,70,25,60,water,,1,0
"['Poison Point', 'Sniper', 'Damp']",18,65,5120,440,75,Dragon Pokémon,95,55,Seadra,50,117,95,45,85,water,,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",18,67,5120,320,225,Goldfish Pokémon,60,45,Goldeen,50,118,35,50,63,water,,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",18,92,5120,450,60,Goldfish Pokémon,65,80,Seaking,50,119,65,80,68,water,,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",18,45,5120,340,225,Starshape Pokémon,55,30,Staryu,,120,70,55,85,water,,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",20,75,5120,520,60,Mysterious Pokémon,85,60,Starmie,,121,100,85,115,water,psychic,1,0
"['Soundproof', 'Filter', 'Technician']","18,75",45,6400,460,45,Barrier Pokémon,65,40,"Mr, Mime",50,122,100,120,90,psychic,fairy,1,0
"['Swarm', 'Technician', 'Steadfast']",22,110,6400,500,45,Mantis Pokémon,80,70,Scyther,50,123,55,80,105,bug,flying,1,0
"['Oblivious', 'Forewarn', 'Dry Skin']",23,50,6400,455,45,Humanshape Pokémon,35,65,Jynx,0,124,115,95,95,ice,psychic,1,0
"['Static', 'Vital Spirit']","17,5",83,6400,490,45,Electric Pokémon,57,65,Electabuzz,"75,4",125,95,85,105,electric,,1,0
"['Flame Body', 'Vital Spirit']",18,95,6400,495,45,Spitfire Pokémon,57,65,Magmar,"75,4",126,100,85,93,fire,,1,0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']","19,5",155,6400,600,45,Stagbeetle Pokémon,120,65,Pinsir,50,127,65,90,105,bug,,1,0
"['Intimidate', 'Anger Point', 'Sheer Force']",18,100,5120,490,45,Wild Bull Pokémon,95,75,Tauros,100,128,40,70,110,normal,,1,0
"['Swift Swim', 'Rattled']",18,10,1280,200,255,Fish Pokémon,55,20,Magikarp,50,129,15,20,80,water,,1,0
"['Intimidate', 'Moxie']","18,5",155,1280,640,45,Atrocious Pokémon,109,95,Gyarados,50,130,70,130,81,water,flying,1,0
"['Water Absorb', 'Shell Armor', 'Hydration']","20,75",85,10240,535,45,Transport Pokémon,80,130,Lapras,50,131,85,95,60,water,ice,1,0
"['Limber', 'Imposter']",18,48,5120,288,35,Transform Pokémon,48,48,Ditto,,132,48,48,48,normal,,1,0
"['Run Away', 'Adaptability', 'Anticipation']",18,55,8960,325,45,Evolution Pokémon,50,55,Eevee,"88,1",133,45,65,55,normal,,1,0
"['Water Absorb', 'Hydration']",18,65,8960,525,45,Bubble Jet Pokémon,60,130,Vaporeon,"88,1",134,110,95,65,water,,1,0
"['Volt Absorb', 'Quick Feet']","17,5",65,8960,525,45,Lightning Pokémon,60,65,Jolteon,"88,1",135,110,95,130,electric,,1,0
"['Flash Fire', 'Guts']",18,130,8960,525,45,Flame Pokémon,60,65,Flareon,"88,1",136,95,110,65,fire,,1,0
"['Trace', 'Download', 'Analytic']",18,60,5120,395,45,Virtual Pokémon,70,65,Porygon,,137,85,75,40,normal,,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']","21,25",40,7680,355,45,Spiral Pokémon,100,35,Omanyte,"88,1",138,90,55,35,rock,water,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']","21,25",60,7680,495,45,Spiral Pokémon,125,70,Omastar,"88,1",139,115,70,55,rock,water,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']","21,25",80,7680,355,45,Shellfish Pokémon,90,30,Kabuto,"88,1",140,55,45,55,rock,water,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']","21,25",115,7680,495,45,Shellfish Pokémon,105,60,Kabutops,"88,1",141,65,70,80,rock,water,1,0
"['Rock Head', 'Pressure', 'Unnerve']","19,5",135,8960,615,45,Fossil Pokémon,85,80,Aerodactyl,"88,1",142,70,95,150,rock,flying,1,0
"['Immunity', 'Thick Fat', 'Gluttony']",18,110,10240,540,25,Sleeping Pokémon,65,160,Snorlax,"88,1",143,65,110,30,normal,,1,0
"['Pressure', 'Snow Cloak']",22,85,20480,580,3,Freeze Pokémon,100,90,Articuno,,144,95,125,85,ice,flying,1,1
"['Pressure', 'Static']","16,5",90,20480,580,3,Electric Pokémon,85,90,Zapdos,,145,125,90,100,electric,flying,1,1
"['Pressure', 'Flame Body']","18,5",100,20480,580,3,Flame Pokémon,90,90,Moltres,,146,125,85,90,fire,flying,1,1
"['Shed Skin', 'Marvel Scale']",19,64,10240,300,45,Dragon Pokémon,45,41,Dratini,50,147,50,50,50,dragon,,1,0
"['Shed Skin', 'Marvel Scale']",19,84,10240,420,45,Dragon Pokémon,65,61,Dragonair,50,148,70,70,70,dragon,,1,0
"['Inner Focus', 'Multiscale']","20,25",134,10240,600,45,Dragon Pokémon,95,91,Dragonite,50,149,100,100,80,dragon,flying,1,0
"['Pressure', 'Unnerve']",20,150,30720,780,3,Genetic Pokémon,70,106,Mewtwo,,150,194,120,140,psychic,,1,1
['Synchronize'],20,100,30720,600,45,New Species Pokémon,100,100,Mew,,151,100,100,100,psychic,,1,1
"['Overgrow', 'Leaf Guard']",21,49,5120,318,45,Leaf Pokémon,65,45,Chikorita,"88,1",152,49,65,45,grass,,2,0
